,value,metric,type
0,135.00788667746212,fde,best_of
1,69.37914095046956,fde,best_of
2,298.0053009642126,fde,best_of
3,137.5810104196854,fde,best_of
4,151.12015677203624,fde,best_of
5,124.99647896698237,fde,best_of
6,92.4072077124352,fde,best_of
7,358.92535161966794,fde,best_of
8,189.56561279491194,fde,best_of
9,214.36543552487876,fde,best_of
10,423.38051134827884,fde,best_of
11,196.63979632363217,fde,best_of
12,215.12504222599634,fde,best_of
13,198.81486797577108,fde,best_of
14,126.07634592428424,fde,best_of
15,138.47907686112052,fde,best_of
16,144.5196992646848,fde,best_of
17,129.17212343365384,fde,best_of
18,109.20077143690563,fde,best_of
19,211.24829902971712,fde,best_of
20,32.25753242247235,fde,best_of
21,6.963469844243829,fde,best_of
22,55.01235293492185,fde,best_of
23,54.613405892923325,fde,best_of
24,23.337652798794284,fde,best_of
25,31.677038146687227,fde,best_of
26,136.4473636045917,fde,best_of
27,40.46727241709743,fde,best_of
28,25.554180955548194,fde,best_of
29,30.43697647316473,fde,best_of
30,99.52368901411546,fde,best_of
31,21.458896103064124,fde,best_of
32,26.462624297190164,fde,best_of
33,23.129621859332175,fde,best_of
34,30.134455069804563,fde,best_of
35,29.996717934335045,fde,best_of
36,26.433703196631743,fde,best_of
37,30.59525914815167,fde,best_of
38,32.827509025857886,fde,best_of
39,15.176400420516542,fde,best_of
40,32.93777773740786,fde,best_of
41,37.912030596053505,fde,best_of
42,5.70777193138494,fde,best_of
43,56.24790116491532,fde,best_of
44,52.51428902536544,fde,best_of
45,22.406682122073462,fde,best_of
46,98.78736350014346,fde,best_of
47,137.06822752417585,fde,best_of
48,39.44076182103997,fde,best_of
49,27.710324571492922,fde,best_of
50,30.32869206946478,fde,best_of
51,17.243995828225636,fde,best_of
52,20.075814251158025,fde,best_of
53,26.24311455375177,fde,best_of
54,23.736729633175003,fde,best_of
55,31.085651980924794,fde,best_of
56,29.372845719230778,fde,best_of
57,25.656243779380336,fde,best_of
58,30.12897870132507,fde,best_of
59,30.24315293273996,fde,best_of
60,30.130489351052884,fde,best_of
61,30.071330482515474,fde,best_of
62,37.62332706922142,fde,best_of
63,6.211545673592554,fde,best_of
64,56.826826917879835,fde,best_of
65,54.37647352671344,fde,best_of
66,30.5605074180245,fde,best_of
67,97.90660538202121,fde,best_of
68,135.9929318554226,fde,best_of
69,40.58163396386686,fde,best_of
70,22.379132951803722,fde,best_of
71,29.90460153660981,fde,best_of
72,15.475752683384933,fde,best_of
73,21.723957118583844,fde,best_of
74,25.80278604705846,fde,best_of
75,23.530103072324813,fde,best_of
76,30.79316702016917,fde,best_of
77,30.01799763444679,fde,best_of
78,26.9902343681522,fde,best_of
79,27.57325533103823,fde,best_of
80,25.564399838250882,fde,best_of
81,46.00609228927256,fde,best_of
82,30.030575169900438,fde,best_of
83,36.544289901211634,fde,best_of
84,6.972524642619319,fde,best_of
85,56.9051249316795,fde,best_of
86,22.29935195884675,fde,best_of
87,32.636054376997066,fde,best_of
88,99.21350538709683,fde,best_of
89,136.1174174075353,fde,best_of
90,54.2128178586331,fde,best_of
91,26.907113255851378,fde,best_of
92,29.848450345703306,fde,best_of
93,15.32765396034742,fde,best_of
94,21.66548646041729,fde,best_of
95,26.205332112630987,fde,best_of
96,21.96924519831256,fde,best_of
97,31.06478110328969,fde,best_of
98,29.415820600073946,fde,best_of
99,39.97639342559335,fde,best_of
100,28.16067079324666,fde,best_of
101,111.23988454088473,fde,best_of
102,45.82508684860853,fde,best_of
103,29.09378184428901,fde,best_of
104,36.89891695910306,fde,best_of
105,6.652238635981667,fde,best_of
106,53.99831543141187,fde,best_of
107,23.44113908073117,fde,best_of
108,29.305626721840927,fde,best_of
109,97.36709599463666,fde,best_of
110,55.19062901356006,fde,best_of
111,39.843234998661906,fde,best_of
112,27.492013590655535,fde,best_of
113,28.922519313590254,fde,best_of
114,15.354393094608318,fde,best_of
115,21.83357810422573,fde,best_of
116,26.1951639452112,fde,best_of
117,25.002003814547194,fde,best_of
118,31.51345246282582,fde,best_of
119,135.43947259584823,fde,best_of
120,31.745015264164966,fde,best_of
121,28.670503732977377,fde,best_of
122,112.6507138526953,fde,best_of
123,44.575127347144885,fde,best_of
124,29.20106205466539,fde,best_of
125,36.75921268916842,fde,best_of
126,57.03718472037672,fde,best_of
127,53.24954629527404,fde,best_of
128,21.657158204572173,fde,best_of
129,30.50213146964684,fde,best_of
130,6.556251115291741,fde,best_of
131,137.04855637590606,fde,best_of
132,40.42865696312376,fde,best_of
133,25.416605884825337,fde,best_of
134,30.056924614130196,fde,best_of
135,15.8683439250158,fde,best_of
136,20.10301506347174,fde,best_of
137,27.41827066903137,fde,best_of
138,23.960630261668136,fde,best_of
139,97.17281556270518,fde,best_of
140,24.727109045680237,fde,best_of
141,26.21707228437304,fde,best_of
142,27.84384257377936,fde,best_of
143,111.35249135308219,fde,best_of
144,44.782933126259685,fde,best_of
145,30.253584369479956,fde,best_of
146,7.46220904524746,fde,best_of
147,57.22264197001206,fde,best_of
148,52.56553776853758,fde,best_of
149,23.540803702351077,fde,best_of
150,37.44994420276551,fde,best_of
151,99.3345050778175,fde,best_of
152,135.47729447491852,fde,best_of
153,39.45237309695173,fde,best_of
154,25.56271924978822,fde,best_of
155,30.16542452695517,fde,best_of
156,16.49852448920942,fde,best_of
157,21.106557181973482,fde,best_of
158,26.50193295034541,fde,best_of
159,30.731280560846887,fde,best_of
160,27.152550960363353,fde,best_of
161,27.734026648156455,fde,best_of
162,29.29262459090217,fde,best_of
163,28.418143545886405,fde,best_of
164,112.66939465475366,fde,best_of
165,44.86529401502592,fde,best_of
166,36.903396989942344,fde,best_of
167,6.994211698902503,fde,best_of
168,56.82163742841027,fde,best_of
169,52.29580006683194,fde,best_of
170,29.19394325600962,fde,best_of
171,31.900164994437368,fde,best_of
172,99.03625435945752,fde,best_of
173,136.620653128475,fde,best_of
174,40.43790032494431,fde,best_of
175,25.93247519783276,fde,best_of
176,30.467185722774367,fde,best_of
177,14.982750133682186,fde,best_of
178,20.935876355002648,fde,best_of
179,22.994230532648015,fde,best_of
180,21.178554035554452,fde,best_of
181,26.397827315141495,fde,best_of
182,28.818388897810024,fde,best_of
183,30.221715194877586,fde,best_of
184,28.713115330155063,fde,best_of
185,112.23095169866988,fde,best_of
186,29.130547949771636,fde,best_of
187,36.76416812444345,fde,best_of
188,7.819968956976193,fde,best_of
189,56.09491562744308,fde,best_of
190,46.49527876080581,fde,best_of
191,22.625329930132512,fde,best_of
192,27.652326979975378,fde,best_of
193,99.28120594605512,fde,best_of
194,136.53978869543286,fde,best_of
195,40.353967566944036,fde,best_of
196,25.52808708643354,fde,best_of
197,29.95429592532945,fde,best_of
198,15.613983304727677,fde,best_of
199,54.62123310829566,fde,best_of
200,17.535625224940585,fde,best_of
201,31.1763072903875,fde,best_of
202,27.120738803195913,fde,best_of
203,24.253670389095085,fde,best_of
204,28.822028830749797,fde,best_of
205,28.738844311261975,fde,best_of
206,43.963571426237905,fde,best_of
207,29.80907032951191,fde,best_of
208,36.0620907523533,fde,best_of
209,5.78735980803074,fde,best_of
210,111.78811084417491,fde,best_of
211,54.73479902116242,fde,best_of
212,22.885308938533406,fde,best_of
213,30.569626076492785,fde,best_of
214,100.33248249768675,fde,best_of
215,137.47834149921673,fde,best_of
216,40.368136531472416,fde,best_of
217,26.193974273535648,fde,best_of
218,30.556292342472105,fde,best_of
219,56.390477848137664,fde,best_of
220,29.73377285144154,fde,best_of
221,44.334885227606506,fde,best_of
222,30.648611414140717,fde,best_of
223,27.048298756408727,fde,best_of
224,26.929060038308705,fde,best_of
225,29.26479642726162,fde,best_of
226,111.88573750618842,fde,best_of
227,43.52539558673846,fde,best_of
228,29.55111421894989,fde,best_of
229,36.834627022140516,fde,best_of
230,29.247876955272886,fde,best_of
231,58.100253039590235,fde,best_of
232,53.675851887243226,fde,best_of
233,22.82556750413731,fde,best_of
234,31.687820199702625,fde,best_of
235,99.47249642310261,fde,best_of
236,137.48279216851708,fde,best_of
237,40.08262282966442,fde,best_of
238,26.730680640549355,fde,best_of
239,6.908768370542213,fde,best_of
240,27.98035449413569,fde,best_of
241,160.64137764921534,fde,best_of
242,43.40518757566115,fde,best_of
243,30.774626881040962,fde,best_of
244,26.829475029870544,fde,best_of
245,26.645588269000015,fde,best_of
246,29.139553617709506,fde,best_of
247,112.26426965927787,fde,best_of
248,44.84461723064253,fde,best_of
249,29.418661819962324,fde,best_of
250,29.01200901589129,fde,best_of
251,4.085900041221787,fde,best_of
252,57.19320393096775,fde,best_of
253,53.290347641466234,fde,best_of
254,22.544593657808655,fde,best_of
255,31.025978599071337,fde,best_of
256,99.72629363701142,fde,best_of
257,135.76051010384379,fde,best_of
258,39.81332325501705,fde,best_of
259,36.522438536125705,fde,best_of
260,40.238096731872325,fde,best_of
261,31.098395952504358,fde,best_of
262,160.75661578015303,fde,best_of
263,42.98273513248537,fde,best_of
264,30.382095208500992,fde,best_of
265,26.963601233613463,fde,best_of
266,28.82949869375604,fde,best_of
267,28.206411347128014,fde,best_of
268,112.2851488317004,fde,best_of
269,45.22800223473973,fde,best_of
270,26.473080426918074,fde,best_of
271,35.98636941008329,fde,best_of
272,6.629924694013743,fde,best_of
273,56.8519268272036,fde,best_of
274,54.054149915870184,fde,best_of
275,23.299214082371115,fde,best_of
276,29.242510495900145,fde,best_of
277,98.61079411856544,fde,best_of
278,134.32102108214747,fde,best_of
279,29.297701268330396,fde,best_of
280,137.54204151546037,fde,best_of
281,118.11147974449163,fde,best_of
282,32.7265528136398,fde,best_of
283,161.05965646497108,fde,best_of
284,43.05432213571095,fde,best_of
285,32.025545949426096,fde,best_of
286,27.408864037292588,fde,best_of
287,28.575656091717835,fde,best_of
288,28.16944502042047,fde,best_of
289,111.23002427331805,fde,best_of
290,27.10160871200979,fde,best_of
291,29.53296528438571,fde,best_of
292,36.32073028639216,fde,best_of
293,6.512793975540049,fde,best_of
294,56.23969984087436,fde,best_of
295,53.49266413083131,fde,best_of
296,23.243170170575038,fde,best_of
297,31.2514820798642,fde,best_of
298,98.6193507293,fde,best_of
299,45.85622848768957,fde,best_of
300,99.41664364471629,fde,best_of
301,20.95940471882546,fde,best_of
302,118.8615915964172,fde,best_of
303,32.03934337134789,fde,best_of
304,160.01041302107038,fde,best_of
305,43.935594967845205,fde,best_of
306,27.424705621129295,fde,best_of
307,27.475400323878446,fde,best_of
308,29.440435836771204,fde,best_of
309,28.858207356003557,fde,best_of
310,31.67419732059235,fde,best_of
311,44.302623947597546,fde,best_of
312,29.790490361948162,fde,best_of
313,36.221701173339525,fde,best_of
314,6.569338785488139,fde,best_of
315,55.416324289820516,fde,best_of
316,53.73646075207631,fde,best_of
317,22.60353221253865,fde,best_of
318,30.14219854422542,fde,best_of
319,111.64476580753578,fde,best_of
320,137.41879035335458,fde,best_of
321,830.9672441521753,fde,best_of
322,568.7083390515966,fde,best_of
323,628.5218686614685,fde,best_of
324,437.0541760572472,fde,best_of
325,689.3065468005628,fde,best_of
326,1008.791745768743,fde,best_of
327,666.1203586573034,fde,best_of
328,223.3703995507272,fde,best_of
329,579.8867929137828,fde,best_of
330,743.1428665336703,fde,best_of
331,698.0136927966632,fde,best_of
332,664.3912203244477,fde,best_of
333,663.7661528879213,fde,best_of
334,110.45333832780358,fde,best_of
335,78.00953840743864,fde,best_of
336,84.24871580969454,fde,best_of
337,148.91155126216864,fde,best_of
338,60.485073784969984,fde,best_of
339,373.08548191086356,fde,best_of
340,60.10352285517059,fde,best_of
341,924.723003308809,fde,best_of
342,830.4002152476054,fde,best_of
343,571.4950957796048,fde,best_of
344,627.9944053517813,fde,best_of
345,437.1644880003874,fde,best_of
346,742.3483555777577,fde,best_of
347,1007.9964932086328,fde,best_of
348,665.0359972591102,fde,best_of
349,222.88675337361988,fde,best_of
350,688.7736386838615,fde,best_of
351,371.75428682666575,fde,best_of
352,698.3989988931961,fde,best_of
353,663.5569287777896,fde,best_of
354,663.8323688853939,fde,best_of
355,112.04994035473072,fde,best_of
356,80.95984407023836,fde,best_of
357,83.58041787797526,fde,best_of
358,147.91680843892897,fde,best_of
359,579.5019588227648,fde,best_of
360,146.9562381902628,fde,best_of
361,553.8136968189199,fde,best_of
362,925.0117774491456,fde,best_of
363,830.6665877012939,fde,best_of
364,570.5838147619479,fde,best_of
365,627.9158676068713,fde,best_of
366,688.7054818469982,fde,best_of
367,743.2775898854062,fde,best_of
368,1008.6995135667732,fde,best_of
369,664.2708863922165,fde,best_of
370,436.0503755066293,fde,best_of
371,580.9712265919396,fde,best_of
372,372.5158286202363,fde,best_of
373,696.4680426255308,fde,best_of
374,663.9685226724637,fde,best_of
375,664.5698223879043,fde,best_of
376,112.02612179296088,fde,best_of
377,78.76904277855306,fde,best_of
378,82.55765496061419,fde,best_of
379,222.78712126102073,fde,best_of
380,83.30851635373254,fde,best_of
381,549.3527762165063,fde,best_of
382,552.5055917232478,fde,best_of
383,925.4652015918083,fde,best_of
