,value,metric,type
0,137.614593771351,fde,ml
1,71.44050145170714,fde,ml
2,301.6913212313133,fde,ml
3,142.4795177652727,fde,ml
4,153.69072191686456,fde,ml
5,128.2276158679549,fde,ml
6,95.90493448906459,fde,ml
7,362.8387300539495,fde,ml
8,193.94678038762538,fde,ml
9,216.3459559190134,fde,ml
10,426.0994820130434,fde,ml
11,199.7531047711129,fde,ml
12,218.77748296362438,fde,ml
13,200.88134139677697,fde,ml
14,128.9894828820435,fde,ml
15,141.38064788716073,fde,ml
16,147.3806540487621,fde,ml
17,131.75970178458357,fde,ml
18,111.8961254391071,fde,ml
19,215.65789387706351,fde,ml
20,33.70428189863101,fde,ml
21,9.206332750992381,fde,ml
22,59.27046410580202,fde,ml
23,56.01683139874484,fde,ml
24,25.00217563144869,fde,ml
25,33.23679213067537,fde,ml
26,139.06625542545729,fde,ml
27,42.7740721375524,fde,ml
28,29.21445214604901,fde,ml
29,32.22804288651381,fde,ml
30,101.40862995369547,fde,ml
31,23.286297041846392,fde,ml
32,28.983832637900587,fde,ml
33,26.646524259414836,fde,ml
34,33.520679159033556,fde,ml
35,31.338141087534964,fde,ml
36,28.494582207995705,fde,ml
37,33.18408643714624,fde,ml
38,35.06949290143175,fde,ml
39,18.446276614460576,fde,ml
40,35.069503410950446,fde,ml
41,39.31742747287615,fde,ml
42,9.206328359861594,fde,ml
43,59.27044404743998,fde,ml
44,56.01683415701197,fde,ml
45,25.002178003002737,fde,ml
46,101.40862407415177,fde,ml
47,139.0662511580465,fde,ml
48,42.77407497835948,fde,ml
49,29.214463391367328,fde,ml
50,33.23679813530923,fde,ml
51,18.446288049763996,fde,ml
52,23.28629514123121,fde,ml
53,28.983829368587998,fde,ml
54,26.646530340214653,fde,ml
55,33.520680015331784,fde,ml
56,31.338139014244103,fde,ml
57,28.494587608136893,fde,ml
58,33.184099131154596,fde,ml
59,32.22802421461649,fde,ml
60,33.18409205720344,fde,ml
61,31.581293779214498,fde,ml
62,39.31742764033908,fde,ml
63,9.206334390741944,fde,ml
64,59.27046171089949,fde,ml
65,56.01684038608357,fde,ml
66,33.236801721444664,fde,ml
67,101.40863869680946,fde,ml
68,139.0662635403502,fde,ml
69,42.774077406165716,fde,ml
70,25.00217834582791,fde,ml
