,value,metric,type
0,20.0,kde,best_of
1,20.0,kde,best_of
2,20.0,kde,best_of
3,20.0,kde,best_of
4,19.22919008845464,kde,best_of
5,20.0,kde,best_of
6,20.0,kde,best_of
7,20.0,kde,best_of
8,20.0,kde,best_of
9,20.0,kde,best_of
10,20.0,kde,best_of
11,20.0,kde,best_of
12,20.0,kde,best_of
13,20.0,kde,best_of
14,20.0,kde,best_of
15,20.0,kde,best_of
16,18.565208209706938,kde,best_of
17,20.0,kde,best_of
18,20.0,kde,best_of
19,20.0,kde,best_of
20,16.861919009945556,kde,best_of
21,16.641142360207784,kde,best_of
22,17.429685671818593,kde,best_of
23,20.0,kde,best_of
24,11.07848115987499,kde,best_of
25,19.460999630994657,kde,best_of
26,20.0,kde,best_of
27,18.76032376057716,kde,best_of
28,17.36093054758167,kde,best_of
29,15.111026445490905,kde,best_of
30,20.0,kde,best_of
31,20.0,kde,best_of
32,19.747064008336377,kde,best_of
33,16.837147145343142,kde,best_of
34,10.450607356485124,kde,best_of
35,13.872843391589173,kde,best_of
36,17.834512945825153,kde,best_of
37,14.889878625372079,kde,best_of
38,20.0,kde,best_of
39,19.07994989173022,kde,best_of
40,20.0,kde,best_of
41,18.62290906619276,kde,best_of
42,17.31899083985121,kde,best_of
43,17.414456482414778,kde,best_of
44,20.0,kde,best_of
45,15.800075297083438,kde,best_of
46,20.0,kde,best_of
47,20.0,kde,best_of
48,17.695972700567243,kde,best_of
49,16.772380951652025,kde,best_of
50,18.774766337198727,kde,best_of
51,18.77416466490191,kde,best_of
52,20.0,kde,best_of
53,17.608062912342294,kde,best_of
54,19.073798100284364,kde,best_of
55,10.70755596829988,kde,best_of
56,14.308350774978537,kde,best_of
57,17.66063127213646,kde,best_of
58,14.302366009950541,kde,best_of
59,15.406241848778928,kde,best_of
60,15.474873362170284,kde,best_of
61,16.842420530769676,kde,best_of
62,18.582820067276757,kde,best_of
63,15.88228803514624,kde,best_of
64,17.660477555397975,kde,best_of
65,20.0,kde,best_of
66,19.51002342701811,kde,best_of
67,20.0,kde,best_of
68,20.0,kde,best_of
69,18.555438687338984,kde,best_of
70,14.220656959461818,kde,best_of
71,13.920282266416962,kde,best_of
72,20.0,kde,best_of
73,20.0,kde,best_of
74,20.0,kde,best_of
75,17.570647310164972,kde,best_of
76,12.21814854866732,kde,best_of
77,13.299625970776013,kde,best_of
78,17.786879761717433,kde,best_of
79,16.117340611756486,kde,best_of
80,16.28665076111561,kde,best_of
81,20.0,kde,best_of
82,18.408738505381155,kde,best_of
83,18.00215934954116,kde,best_of
84,16.647253391758305,kde,best_of
85,18.028948564757428,kde,best_of
86,14.521560310892049,kde,best_of
87,19.188327187887445,kde,best_of
88,20.0,kde,best_of
89,20.0,kde,best_of
90,20.0,kde,best_of
91,17.517572410789192,kde,best_of
92,15.1003744475037,kde,best_of
93,19.53320496986901,kde,best_of
94,20.0,kde,best_of
95,19.694979135425488,kde,best_of
96,16.4315379208901,kde,best_of
97,14.64406361508737,kde,best_of
98,13.513098545495334,kde,best_of
