,value,metric,type
0,20.0,kde,full
1,20.0,kde,full
2,20.0,kde,full
3,20.0,kde,full
4,20.0,kde,full
5,20.0,kde,full
6,20.0,kde,full
7,20.0,kde,full
8,20.0,kde,full
9,20.0,kde,full
10,20.0,kde,full
11,20.0,kde,full
12,20.0,kde,full
13,20.0,kde,full
14,20.0,kde,full
15,20.0,kde,full
16,18.540665498257123,kde,full
17,20.0,kde,full
18,20.0,kde,full
19,20.0,kde,full
20,16.881453759758248,kde,full
21,17.017604365382773,kde,full
22,17.360134802216116,kde,full
23,20.0,kde,full
24,14.101360270962006,kde,full
25,20.0,kde,full
26,20.0,kde,full
27,18.630561418016196,kde,full
28,16.820507165904324,kde,full
29,14.574520365000495,kde,full
30,20.0,kde,full
31,20.0,kde,full
32,20.0,kde,full
33,17.57213873947009,kde,full
34,13.106873589883584,kde,full
35,13.985557795185,kde,full
36,16.04685107193164,kde,full
37,14.802765520367936,kde,full
38,20.0,kde,full
39,20.0,kde,full
40,20.0,kde,full
41,18.557477986501887,kde,full
42,16.632381304732924,kde,full
43,17.338388049111497,kde,full
44,20.0,kde,full
45,13.735074693898163,kde,full
46,20.0,kde,full
47,20.0,kde,full
48,18.289697218635887,kde,full
49,17.195664787362034,kde,full
50,20.0,kde,full
51,20.0,kde,full
52,20.0,kde,full
53,20.0,kde,full
54,17.651836803596183,kde,full
55,11.907687355578146,kde,full
56,13.992172394159091,kde,full
57,17.53299638283559,kde,full
58,14.696917135470226,kde,full
59,16.076772108350603,kde,full
60,14.846264268507914,kde,full
61,17.562678300388985,kde,full
62,18.568106163470183,kde,full
63,17.1015289401374,kde,full
64,17.441831866194672,kde,full
65,20.0,kde,full
66,20.0,kde,full
67,20.0,kde,full
68,20.0,kde,full
69,18.626720286215686,kde,full
70,14.98563003683946,kde,full
71,16.343427855353674,kde,full
72,20.0,kde,full
73,20.0,kde,full
74,20.0,kde,full
75,17.45622458573078,kde,full
76,11.981605670851492,kde,full
77,14.131194333533601,kde,full
78,17.348122742146657,kde,full
79,17.069638355460796,kde,full
80,17.50125005877084,kde,full
81,20.0,kde,full
82,17.770950807531193,kde,full
83,18.60156815812441,kde,full
84,16.44863920751157,kde,full
85,17.35676990261089,kde,full
86,14.044570342154662,kde,full
87,20.0,kde,full
88,20.0,kde,full
89,20.0,kde,full
90,20.0,kde,full
91,17.033173860269386,kde,full
92,14.81805612918059,kde,full
93,20.0,kde,full
94,20.0,kde,full
95,20.0,kde,full
96,17.230435416025877,kde,full
97,11.546575171072705,kde,full
98,13.788065761524683,kde,full
99,18.561883115027793,kde,full
100,14.327187648515675,kde,full
101,20.0,kde,full
102,20.0,kde,full
103,18.382626865818967,kde,full
104,18.5568212308694,kde,full
