,value,metric,type
0,20.0,kde,z_mode
1,20.0,kde,z_mode
2,20.0,kde,z_mode
3,20.0,kde,z_mode
4,20.0,kde,z_mode
5,20.0,kde,z_mode
6,20.0,kde,z_mode
7,20.0,kde,z_mode
8,20.0,kde,z_mode
9,20.0,kde,z_mode
10,20.0,kde,z_mode
11,20.0,kde,z_mode
12,20.0,kde,z_mode
13,20.0,kde,z_mode
14,20.0,kde,z_mode
15,20.0,kde,z_mode
16,18.406735576726213,kde,z_mode
17,20.0,kde,z_mode
18,20.0,kde,z_mode
19,20.0,kde,z_mode
20,16.8547059103965,kde,z_mode
21,17.35443655352492,kde,z_mode
22,17.41630661033161,kde,z_mode
23,20.0,kde,z_mode
24,14.173148063371597,kde,z_mode
25,20.0,kde,z_mode
26,20.0,kde,z_mode
27,18.65227621341753,kde,z_mode
28,16.909130946140714,kde,z_mode
29,15.990346999508851,kde,z_mode
30,20.0,kde,z_mode
31,20.0,kde,z_mode
32,20.0,kde,z_mode
33,17.683646030452504,kde,z_mode
34,11.493099470895302,kde,z_mode
35,13.735647662368605,kde,z_mode
36,17.102418849308464,kde,z_mode
37,15.009664013383489,kde,z_mode
38,20.0,kde,z_mode
39,20.0,kde,z_mode
40,20.0,kde,z_mode
41,18.557593448878745,kde,z_mode
42,17.36410439502273,kde,z_mode
43,17.40605521212779,kde,z_mode
44,20.0,kde,z_mode
45,14.357606136292208,kde,z_mode
46,20.0,kde,z_mode
47,20.0,kde,z_mode
48,18.403259242128616,kde,z_mode
49,16.72737677913884,kde,z_mode
50,19.831002658704325,kde,z_mode
51,19.951280924526376,kde,z_mode
52,20.0,kde,z_mode
53,20.0,kde,z_mode
54,17.56652701617853,kde,z_mode
55,12.453557802745344,kde,z_mode
56,13.833061976186038,kde,z_mode
57,17.590998413419985,kde,z_mode
58,14.74587706315347,kde,z_mode
59,15.601436464283388,kde,z_mode
60,14.838709715968855,kde,z_mode
61,18.082928552924354,kde,z_mode
62,18.554759089821072,kde,z_mode
63,17.17909911435199,kde,z_mode
64,17.485332897505618,kde,z_mode
65,20.0,kde,z_mode
66,20.0,kde,z_mode
67,20.0,kde,z_mode
68,20.0,kde,z_mode
69,18.172175115025418,kde,z_mode
70,14.109964687988583,kde,z_mode
71,15.596032468927774,kde,z_mode
72,20.0,kde,z_mode
73,20.0,kde,z_mode
74,20.0,kde,z_mode
75,17.310477846331487,kde,z_mode
76,12.028587503396915,kde,z_mode
77,13.483575473113444,kde,z_mode
78,17.42081266360021,kde,z_mode
79,17.324136023189904,kde,z_mode
80,17.209524882389275,kde,z_mode
81,20.0,kde,z_mode
82,17.787615518542896,kde,z_mode
83,18.543320901453416,kde,z_mode
84,17.307129761619002,kde,z_mode
85,17.395519195480297,kde,z_mode
86,15.05420915379116,kde,z_mode
87,20.0,kde,z_mode
88,20.0,kde,z_mode
89,20.0,kde,z_mode
90,20.0,kde,z_mode
91,16.79480773215538,kde,z_mode
92,16.044094724487888,kde,z_mode
93,19.98287117986068,kde,z_mode
94,20.0,kde,z_mode
95,20.0,kde,z_mode
96,16.369186954214552,kde,z_mode
97,12.581865809761492,kde,z_mode
98,14.261348207708105,kde,z_mode
99,18.604400176425635,kde,z_mode
100,14.316348560795985,kde,z_mode
101,20.0,kde,z_mode
102,20.0,kde,z_mode
103,17.536228381412716,kde,z_mode
104,18.579172770678046,kde,z_mode
105,16.240218724975616,kde,z_mode
106,20.0,kde,z_mode
107,14.022665080598172,kde,z_mode
108,20.0,kde,z_mode
109,20.0,kde,z_mode
110,17.358208929049333,kde,z_mode
111,18.36427109772734,kde,z_mode
112,17.10102203845464,kde,z_mode
113,15.578777813719459,kde,z_mode
114,20.0,kde,z_mode
115,20.0,kde,z_mode
116,20.0,kde,z_mode
117,17.464036067503418,kde,z_mode
118,12.230194272069813,kde,z_mode
119,20.0,kde,z_mode
120,11.275867055569737,kde,z_mode
121,20.0,kde,z_mode
122,20.0,kde,z_mode
123,20.0,kde,z_mode
124,18.075076383997416,kde,z_mode
125,18.568781582704787,kde,z_mode
